classifier,accuracy,precision,recall,F measure,type
SVC,75.76%,65.79%,62.5%,64.1%,validation before pseudo
SVC,74.89%,64.1%,62.5%,63.29%,validation after pseudo
KNeighborsClassifier,70.56%,56.82%,62.5%,59.52%,validation before pseudo
KNeighborsClassifier,70.13%,56.18%,62.5%,59.17%,validation after pseudo
LogisticRegression,73.59%,61.73%,62.5%,62.11%,validation before pseudo
LogisticRegression,73.59%,62.03%,61.25%,61.64%,validation after pseudo
GaussianNB,72.73%,60.0%,63.75%,61.82%,validation before pseudo
GaussianNB,70.56%,57.14%,60.0%,58.54%,validation after pseudo
